Name,Count,ProportionFemale
Stacie,38054,0.994796867609187
Shelby,140817,0.9345391536533231
Sharron,5680,0.9436619718309859
Josie,37603,0.9916230088024892
Katharine,23948,0.9995406714548187
Twila,3957,1.0
Lorene,4379,0.9977163736012788
Eve,19212,1.0
Renae,11321,0.9979683773518241
Deann,7627,1.0
Blanca,21423,0.994351864818186
Leisa,3709,1.0
Rachelle,30842,0.998800337202516
Rosetta,5189,1.0
Roslyn,7401,1.0
Daphne,29873,0.9997656746895189
Dinah,4719,1.0
Leeann,12232,1.0
Danita,5888,1.0
Maryjo,3713,1.0
Kaye,3322,1.0
Lila,31529,1.0
Lourdes,12343,0.9944097869237625
James,2043744,0.004896405812078225
Suzan,3538,1.0
Caren,5617,1.0
Hattie,10336,1.0
Glenna,4061,1.0
Luz,22776,0.9767298911134528
Kendra,94104,0.9962807107030519
Estella,9305,0.999462654486835
Amber,369286,0.9973489382213244
Pamala,3768,1.0
Roxane,3193,1.0
Elsa,18387,0.999456137488443
Fran,1889,0.8734780307040763
Dorothea,4424,1.0
Deena,10504,0.9995239908606245
Lorena,29450,0.9925636672325976
Rosalinda,11041,0.9995471424689792
Alfreda,2937,0.9959141981613892
Lisha,2342,1.0
Fay,3400,0.9673529411764706
Ilene,4635,1.0
Merry,3665,1.0
Genevieve,39344,0.9995424969499797
Ivy,46409,0.9798961408347518
Adele,9903,1.0
Henrietta,3703,1.0
Marcie,12139,0.9993409671307356
Robert,1752796,0.004722169607872222
Ruthie,4812,1.0
Patrica,4196,0.9988083889418494
Candice,59473,0.9973937753266188
Gaye,1591,1.0
Angel,323158,0.2928103280748117
Gena,10142,1.0
Vickey,2417,0.9888291270169631
Caryn,9409,1.0
Teressa,4375,1.0
Libby,10903,1.0
Lupe,5588,0.7159985683607731
Jami,21403,0.959258047937205
Kitty,2910,1.0
Bernadine,2658,1.0
Sophia,345373,0.9987028516994669
Charmaine,9443,0.9978820290162025
Lucia,35184,0.997555707139609
Gigi,3185,1.0
Allyson,50369,0.9995830768925331
Kirsten,51895,0.9959148280181135
Antonia,20667,0.8914694924275415
Pattie,2318,1.0
Simone,24104,0.9817457683372054
Cathryn,7853,1.0
Lenore,4133,1.0
Melba,2791,1.0
Roxanna,9623,0.9992725761197132
Arleen,3893,1.0
Bambi,3861,1.0
Georgette,5223,1.0
Marci,12287,0.999104744852283
Geralyn,2237,1.0
Mamie,3824,1.0
Meredith,66610,0.9874943702146824
Rae,8990,0.9743047830923248
Tamie,2611,1.0
Sharlene,6005,1.0
Lesley,31287,0.9305462332598203
Nicole,588632,0.9966702455863765
Venita,2095,1.0
Wendi,13443,1.0
Erma,3375,1.0
John,1949384,0.0042100478920520535
Terese,3403,1.0
Abby,56748,0.9974800874039613
Karyn,11246,0.9995553974746576
Lula,3464,1.0
Jenifer,23691,0.9990713773162805
Sheree,7996,1.0
Keri,31449,0.9900473782950173
Angelina,91911,0.9991295927582118
Corrine,8732,1.0
Inez,6078,0.9591971043106285
Erica,229308,0.9955300294800007
Janell,11595,0.9980163863734368
Nelda,2462,1.0
Cara,49234,0.998740707641061
Juli,5050,1.0
Antionette,6407,1.0
Fannie,4561,1.0
Ginny,4866,1.0
Dorene,2684,1.0
Silvia,16549,0.9969182427941266
Abigail,372594,0.998250106013516
Aileen,20879,0.9997605249293549
Jocelyn,102712,0.9965826777786432
Marylou,3444,1.0
Rhoda,4865,1.0
Jewel,13909,0.9327773384139766
Debbi,1537,1.0
Karol,5458,0.8384023451813851
